id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_x,studio_bom,domestic_gross_y,foreign_gross_bom,year_y,movie_clean,profit,ROI,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,main_genres,clean_title
1,2009-12-18,avatar,425000000.0,760507625.0,,2009,unknown,,,,avatar,,,tt1775309,Avatar,Abatâ,2011,93,Horror,6.1,43,Horror,avatar
2,2011-05-20,pirates of the caribbean: on stranger tides,410600000.0,241063875.0,1045663875.0,2011,BV,241100000.0,804600000.0,2011.0,pirates of the caribbean: on stranger tides,635063875.0,1.5466728567949342,tt1298650,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136,"Action,Adventure,Fantasy",6.6,447624,Action,pirates of the caribbean: on stranger tides
3,2019-06-07,dark phoenix,350000000.0,42762350.0,,2019,unknown,,,,dark phoenix,,,tt6565702,Dark Phoenix,Dark Phoenix,2019,113,"Action,Adventure,Sci-Fi",6.0,24451,Action,dark phoenix
4,2015-05-01,avengers: age of ultron,330600000.0,459005868.0,1405405868.0,2015,BV,459000000.0,946400000.0,2015.0,avengers: age of ultron,1074805868.0,3.2510764307320024,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",7.3,665594,Action,avengers: age of ultron
7,2018-04-27,avengers: infinity war,300000000.0,678815482.0,,2018,unknown,,,,avengers: infinity war,,,tt4154756,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.5,670926,Action,avengers: infinity war
9,2017-11-17,justice league,300000000.0,229024295.0,657924295.0,2017,WB,229000000.0,428900000.0,2017.0,justice league,357924295.0,1.1930809833333333,tt0974015,Justice League,Justice League,2017,120,"Action,Adventure,Fantasy",6.5,329135,Action,justice league
10,2015-11-06,spectre,300000000.0,200074175.0,880674175.0,2015,Sony,200100000.0,680600000.0,2015.0,spectre,580674175.0,1.9355805833333333,tt2379713,Spectre,Spectre,2015,148,"Action,Adventure,Thriller",6.8,352504,Action,spectre
11,2012-07-20,the dark knight rises,275000000.0,448139099.0,1084939099.0,2012,WB,448100000.0,636800000.0,2012.0,the dark knight rises,809939099.0,2.9452330872727273,tt1345836,The Dark Knight Rises,The Dark Knight Rises,2012,164,"Action,Thriller",8.4,1387769,Action,the dark knight rises
12,2018-05-25,solo: a star wars story,275000000.0,213767512.0,392967512.0,2018,BV,213800000.0,179200000.0,2018.0,solo: a star wars story,117967512.0,0.4289727709090909,tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135,"Action,Adventure,Fantasy",7.0,226243,Action,solo: a star wars story
13,2013-07-02,the lone ranger,275000000.0,89302115.0,260502115.0,2013,BV,89300000.0,171200000.0,2013.0,the lone ranger,-14497885.0,-0.052719581818181815,tt1210819,The Lone Ranger,The Lone Ranger,2013,150,"Action,Adventure,Western",6.4,208827,Action,the lone ranger
14,2012-03-09,john carter,275000000.0,73058679.0,284158679.0,2012,BV,73100000.0,211100000.0,2012.0,john carter,9158679.0,0.03330428727272727,tt0401729,John Carter,John Carter,2012,132,"Action,Adventure,Sci-Fi",6.6,241792,Action,john carter
